Breed,datadog score,Popularity,LONGEVITY,Lifetime_Cost,Average_Height,Average_Weight,obey,Intelligence
Border Collie,1,39,0.778947368,0.486823529,0.510204082,0.249146758,1,1
Border Terrier,0.986486486,61,0.978947368,0.682509804,0.244897959,0.068259386,0.615384615,0.5
Brittany,0.954954955,30,0.884210526,0.678666667,0.469387755,0.215017065,0.846153846,0.75
Cairn Terrier,0.95045045,48,0.947368421,0.631843137,0.081632653,0.071672355,0.615384615,0.5
Welsh Springer Spaniel,0.864864865,81,0.757894737,0.493176471,0.408163265,0.249146758,0.615384615,0.5
Papillon,0.828828829,33,0.894736842,0.554117647,0.081632653,0.027303754,1,1
Australian Cattle Dog,0.824324324,49,0.526315789,0.506588235,0.448979592,0.249146758,1,1
Siberian Husky,0.810810811,16,0.821052632,0.636313725,0.571428571,0.317406143,0.307692308,0.25
Affenpinscher,0.801801802,84,0.442105263,0.344862745,0.12244898,0.044368601,0.615384615,0.5
Dachshund,0.797297297,9,0.842105263,0.484470588,0.040816327,0.139931741,0.307692308,0.25
Chihuahua,0.779279279,14,1,0.965803922,0,0,0,0
Australian Terrier,0.761261261,77,0.368421053,0.31027451,0.102040816,0.058020478,0.615384615,0.5
Whippet,0.761261261,46,0.863157895,0.552156863,0.510204082,0.170648464,0.307692308,0.25
English Springer Spaniel,0.752252252,29,0.810526316,0.628235294,0.510204082,0.317406143,0.846153846,0.75
West Highland White Terrier,0.747747748,32,0.852631579,0.514039216,0.142857143,0.071672355,0.307692308,0.25
Bedlington Terrier,0.743243243,83,0.926315789,0.640862745,0.326530612,0.116040956,0.307692308,0.25
Bichon Frise,0.725225225,34,0.663157895,0.454823529,0.12244898,0.071672355,0.307692308,0.25
German Shorthaired Pointer,0.725225225,15,0.463157895,0.933803922,0.653061224,0.419795222,0.846153846,0.75
Pointer,0.725225225,74,0.736842105,0.824235294,0.612244898,0.351535836,0.307692308,0.25
Tibetan Spaniel,0.720720721,73,0.989473684,0.910823529,0.102040816,0.058020478,0.307692308,0.25
Labrador Retriever,0.698198198,1,0.610526316,0.577490196,0.612244898,0.436860068,1,1
Maltese,0.68018018,23,0.673684211,0.403764706,0.06122449,0.010238908,0,0
Pomeranian,0.68018018,17,0.189473684,0.145568627,0.183673469,0.010238908,0.846153846,0.75
Australian Shepherd,0.671171171,24,0.694736842,0.589960784,0.530612245,0.317406143,0.307692308,0.25
Yorkshire Terrier,0.644144144,5,0.831578947,0.530588235,0.020408163,0.010238908,0.615384615,0.5
Irish Setter,0.63963964,56,0.505263158,0.500941176,0.755102041,0.419795222,0.615384615,0.5
Pharaoh Hound,0.626126126,86,0.547368421,0.55772549,0.632653061,0.317406143,0.615384615,0.5
Golden Retriever,0.621621622,4,0.610526316,0.589098039,0.612244898,0.419795222,1,1
Samoyed,0.621621622,55,0.747368421,0.895372549,0.571428571,0.368600683,0.615384615,0.5
Chesapeake Bay Retriever,0.612612613,40,0.178947368,0.21654902,0.653061224,0.419795222,0.615384615,0.5
Tibetan Terrier,0.599099099,64,0.726315789,0.501960784,0.326530612,0.146757679,0,0
Gordon Setter,0.59009009,69,0.378947368,0.444627451,0.714285714,0.402730375,0.615384615,0.5
English Setter,0.585585586,65,0.494736842,0.500078431,0.714285714,0.402730375,0.615384615,0.5
Pug,0.585585586,26,0.357894737,0.360078431,0.12244898,0.098976109,0,0
Briard,0.581081081,79,0.4,0.449960784,0.714285714,0.488054608,0.615384615,0.5
Boston Terrier,0.536036036,22,0.347368421,0.298431373,0.285714286,0.112627986,0.307692308,0.25
Doberman Pinscher,0.527027027,13,0.284210526,0.349882353,0.795918367,0.5221843,1,1
Cavalier King Charles Spaniel,0.518018018,21,0.431578947,0.368862745,0.204081633,0.09556314,0.307692308,0.25
Dalmatian,0.518018018,57,0.421052632,0.466666667,0.551020408,0.368600683,0.615384615,0.5
Italian Greyhound,0.481981982,53,0.242105263,0.198196078,0.244897959,0.030716724,0,0
Staffordshire Bull Terrier,0.477477477,58,0.642105263,0.605019608,0.306122449,0.153583618,0.307692308,0.25
Clumber Spaniel,0.459459459,82,0.210526316,0.325333333,0.489795918,0.317406143,0.615384615,0.5
Dandie Dinmont Terrier,0.45045045,87,0.652631579,0.603686275,0.551020408,0.040955631,0,0
Saluki,0.445945946,75,0.589473684,0.857254902,0.734693878,0.33447099,0.307692308,0.25
Giant Schnauzer,0.432432432,70,0.210526316,1,0.775510204,0.470989761,0.615384615,0.5
Greyhound,0.391891892,85,0.157894737,0.147686275,0.857142857,0.419795222,0.307692308,0.25
Scottish Terrier,0.382882883,45,0.336842105,0.281490196,0.142857143,0.112627986,0,0
Rottweiler,0.369369369,10,0.126315789,0.388235294,0.693877551,0.658703072,1,1
Kerry Blue Terrier,0.31981982,78,0.168421053,0.259137255,0.469387755,0.232081911,0.615384615,0.5
Newfoundland,0.292792793,37,0.136842105,0.424705882,0.795918367,0.829351536,0.615384615,0.5
Akita,0.238738739,41,0.263157895,0.553568627,0.795918367,0.658703072,0.307692308,0.25
Rhodesian Ridgeback,0.220720721,38,0.115789474,0.20345098,0.734693878,0.505119454,0.307692308,0.25
French Bulldog,0.216216216,18,0.063157895,0.261176471,0.163265306,0.129692833,0,0
Bernese Mountain Dog,0.193693694,31,0.021052632,0.169647059,0.714285714,0.641638225,0.846153846,0.75
Bull Terrier,0.193693694,44,0.273684211,0.357176471,0.571428571,0.385665529,0,0
Boxer,0.184684685,7,0.052631579,0.141960784,0.632653061,0.436860068,0.307692308,0.25
Irish Wolfhound,0.108108108,60,0,0.352862745,0.979591837,0.795221843,0.307692308,0.25
Bullmastiff,0.099099099,35,0.031578947,0,0.755102041,0.76109215,0,0
Great Dane,0.04954955,19,0.010526316,0.056941176,1,0.931740614,0.307692308,0.25
Saint Bernard,0,43,0.042105263,0.477333333,0.775510204,1,0,0
